RelativeDisplacement,Force
2.304000256117433310e-01,1.515921963826385443e-01
2.328000258785323240e-01,1.528681745394402935e-01
2.352000261453213170e-01,1.541426871138918409e-01
2.376000264121103100e-01,1.554157341059932418e-01
2.400000266788993031e-01,1.566873377215374230e-01
2.424000269456882961e-01,1.579575423721097382e-01
2.448000272124772891e-01,1.592262148229542373e-01
2.472000274792662822e-01,1.604936437493759693e-01
2.496000277460552752e-01,1.617595515789664318e-01
2.520000280128442682e-01,1.630240715464818801e-01
2.544000282796332613e-01,1.642872147548187223e-01
2.568000285464222543e-01,1.655489589981843923e-01
2.592000288132112473e-01,1.668093486881643828e-01
2.616000290800002404e-01,0.000000000000000000e+00
2.640000293467892334e-01,1.690753409922846617e-01
2.664000296135782264e-01,1.697915110813080219e-01
2.688000298803672194e-01,1.714512607657279752e-01
2.712000301471562125e-01,1.732151445094428366e-01
2.736000304139452055e-01,1.749765078958462061e-01
2.760000306807341985e-01,1.767158320341945532e-01
2.784000309475231916e-01,1.784306742874154916e-01
2.808000312143121846e-01,1.801230442796369347e-01
2.832000314811011776e-01,1.817957954550664390e-01
2.856000317478901707e-01,1.834516924347469047e-01
2.880000320146791637e-01,1.850929446949338697e-01
2.904000322814681567e-01,1.867212731844701268e-01
2.928000325482571498e-01,1.883382323087622878e-01
2.952000328150461428e-01,1.899451433124060840e-01
2.976000330818351358e-01,1.915428278096880099e-01
3.000000333486241288e-01,1.931320741062072521e-01
3.024000336154131219e-01,1.947133596264815636e-01
3.048000338822021149e-01,1.962876836311296946e-01
3.072000341489911079e-01,1.978551127375261232e-01
3.096000344157801010e-01,1.994162131933547855e-01
3.120000346825690940e-01,2.009713402912799429e-01
3.144000349493580870e-01,2.025205384428846456e-01
3.168000352161470801e-01,1.396545869659779893e-01
3.192000354829360731e-01,1.480972066252245201e-01
3.216000357497250661e-01,1.521638864294895532e-01
3.240000360165140592e-01,1.550502729101595756e-01
3.264000362833030522e-01,1.574163776998861453e-01
3.288000365500920452e-01,1.594958945466120881e-01
3.312000368168810382e-01,1.613935570651539031e-01
3.336000370836700313e-01,1.631644911324866554e-01
3.360000373504590243e-01,1.648422163906421711e-01
3.384000376172480173e-01,1.664493050265112573e-01
3.408000378840370104e-01,1.680016896953935857e-01
3.432000381508260034e-01,1.695103844697946061e-01
3.456000384176149964e-01,1.709841606372968226e-01
3.480000386844039895e-01,1.724293801571374907e-01
3.504000389511929825e-01,1.738507284512847417e-01
3.528000392179819755e-01,1.752522580766632809e-01
3.552000394847709686e-01,1.766363450529531698e-01
3.576000397515599616e-01,1.780053653998248386e-01
3.600000400183489546e-01,1.793610733747972863e-01
3.624000402851379476e-01,1.807048790456184384e-01
3.648000405519269407e-01,1.820376706439518211e-01
3.672000408187159337e-01,1.833604918419819430e-01
3.696000410855049267e-01,1.846742086655740467e-01
3.720000413522939198e-01,1.859792763334432442e-01
3.744000416190829128e-01,1.872761722701173082e-01
3.768000418858719058e-01,1.885657069869722258e-01
3.792000421526608989e-01,1.898481136448131323e-01
3.816000424194498919e-01,1.911236031986629502e-01
3.840000426862388849e-01,1.474357412328222428e-01
3.864000429530278780e-01,1.845300046964141738e-01
3.888000432198168710e-01,1.943962820509646250e-01
3.912000434866058640e-01,2.003464126610259577e-01
3.936000437533948570e-01,1.773587095179230688e-01
3.960000440201838501e-01,1.877657089324318296e-01
3.984000442869728431e-01,1.934027711699509711e-01
4.008000445537618361e-01,1.976314422042112218e-01
4.032000448205508292e-01,2.011617077961174171e-01
4.056000450873398222e-01,2.042662217527370372e-01
4.080000453541288152e-01,2.070805393264648908e-01
4.104000456209178083e-01,2.096840018093234503e-01
4.128000458877068013e-01,2.121281044311821018e-01
4.152000461544957943e-01,2.144485207956807749e-01
4.176000464212847874e-01,2.166707875627656432e-01
4.200000466880737804e-01,2.225562762950334950e-01
4.224000469548627734e-01,2.271959645667436245e-01
4.248000472216517664e-01,2.311861335409053919e-01
4.272000474884407595e-01,2.348629677466355092e-01
4.296000477552297525e-01,2.383373850947444472e-01
4.320000480220187455e-01,2.416643671159856011e-01
4.344000482888077386e-01,2.457512977699624346e-01
4.368000485555967316e-01,2.498207412180173392e-01
4.392000488223857246e-01,2.534856951483979715e-01
4.416000490891747177e-01,2.569778547487600040e-01
4.440000493559637107e-01,2.603502252329881750e-01
4.464000496227527037e-01,2.637134913656533630e-01
4.488000498895416968e-01,2.668483266016568600e-01
4.512000501563306898e-01,2.698717775998239476e-01
4.536000504231196828e-01,2.728489739446543494e-01
4.560000506899086758e-01,2.757830466521401513e-01
4.584000509566976689e-01,2.786768491658064839e-01
4.608000512234866619e-01,2.815332349291640446e-01
4.632000514902756549e-01,2.843555015016098197e-01
4.656000517570646480e-01,2.871461137254219809e-01
4.680000520238536410e-01,2.899067481373718835e-01
4.704000522906426340e-01,2.926405357535202256e-01
4.728000525574316271e-01,2.953483981138576020e-01
4.752000528242206201e-01,2.980325446941624046e-01
4.776000530910096131e-01,3.006947741631972315e-01
4.800000533577986062e-01,3.033358748262591220e-01
