nv,mu,phi,r0_small,r0_large
11,0.0917953340839378,0.6086904859490808,1.0042542542542543,1.4063229896563232
11,0.0917953340839378,0.6086904859490789,0.9992492492492493,1.4021521521521523
11,0.0917953340839378,0.6086904859490769,1.0067567567567568,1.4096596596596598
11,0.0917953340839378,0.608690485949077,1.0042542542542543,1.4021521521521523
11,0.0917953340839378,0.6086904859490736,1.0017517517517518,1.405905905905906
11,0.0917953340839378,0.6086904859490787,1.0042542542542543,1.3996496496496498
13,0.09291928548568841,0.6095771635811058,1.0117617617617618,1.3996496496496498
13,0.09291928548568841,0.6095771635810614,1.0055055055055055,1.4084084084084085
13,0.09291928548568841,0.6095771635811121,0.9992492492492493,1.3996496496496498
13,0.09291928548568841,0.609577163581108,1.0017517517517518,1.3996496496496498
13,0.09291928548568841,0.6095771635810965,1.0017517517517518,1.4029863196529864
13,0.09291928548568841,0.6095771635810963,1.0042542542542543,1.4034034034034035
13,0.09291928548568841,0.6095771635811087,1.008008008008008,1.4046546546546548
13,0.09291928548568841,0.609577163581111,1.008008008008008,1.3996496496496498
13,0.09291928548568841,0.6095771635810623,1.0142642642642643,1.4040290290290292
13,0.09291928548568841,0.6095771635811059,0.9992492492492493,1.4046546546546548
19,0.0949963704011567,0.6110557997435329,1.0142642642642643,1.4046546546546548
19,0.0949963704011567,0.6110557997435428,1.0005005005005005,1.4046546546546548
19,0.0949963704011567,0.6110557997435427,1.0042542542542543,1.4096596596596598
19,0.0949963704011567,0.6110557997435417,1.0142642642642643,1.4071571571571573
19,0.0949963704011567,0.6110557997435404,1.0042542542542543,1.4071571571571573
19,0.0949963704011567,0.6110557997435392,1.0017517517517518,1.3996496496496498
19,0.0949963704011567,0.6110557997435386,1.0067567567567568,1.4021521521521523
19,0.0949963704011567,0.6110557997435432,1.0042542542542543,1.4021521521521523
19,0.0949963704011567,0.6110557997435406,1.0092592592592593,1.3996496496496498
19,0.0949963704011567,0.6110557997435455,1.0092592592592593,1.3996496496496498
31,0.09685551505548305,0.6124862920762216,1.0067567567567568,1.4021521521521523
31,0.09685551505548305,0.6124862920762268,1.0017517517517518,1.4034034034034035
31,0.09685551505548305,0.6124862920762227,1.0017517517517518,1.4046546546546548
31,0.09685551505548305,0.612486292076205,1.0017517517517518,1.4021521521521523
31,0.09685551505548305,0.6124862920762187,1.0017517517517518,1.3996496496496498
31,0.09685551505548305,0.612486292076208,1.0067567567567568,1.4071571571571573
31,0.09685551505548305,0.6124862920762085,1.003003003003003,1.4071571571571573
31,0.09685551505548305,0.6124862920762184,1.0117617617617618,1.4071571571571573
31,0.09685551505548305,0.6124862920762009,1.0017517517517518,1.3996496496496498
31,0.09685551505548305,0.612486292076214,1.0017517517517518,1.4021521521521523
5,0.08494776691458673,0.8080484069589013,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.8080484069588991,0.9867367367367368,1.3996496496496498
5,0.08494776691458673,0.8080484069589032,0.992992992992993,1.3996496496496498
5,0.08494776691458673,0.8080484069589025,0.9867367367367368,1.3996496496496498
5,0.08494776691458673,0.8080484069588963,0.9917417417417418,1.3996496496496498
5,0.08494776691458673,0.8080484069589022,0.9904904904904905,1.3996496496496498
5,0.08494776691458673,0.8080484069589035,0.9917417417417418,1.3996496496496498
5,0.08494776691458673,0.8080484069589046,0.9942442442442443,1.3996496496496498
5,0.08494776691458673,0.8080484069589039,0.9892392392392393,1.3996496496496498
5,0.08494776691458673,0.8080484069588952,0.9942442442442443,1.3996496496496498
7,0.08810175736056135,0.8105581115709966,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8105581115709796,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8105581115709981,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.810558111571,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.810558111571003,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8105581115709838,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8105581115709826,1.0005005005005005,1.3996496496496498
7,0.08810175736056135,0.8105581115709811,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8105581115709882,0.9992492492492493,1.3996496496496498
7,0.08810175736056135,0.8105581115709852,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435956,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435924,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435888,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435875,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435939,0.9992492492492493,1.3996496496496498
11,0.0917953340839378,0.8136904859435926,0.9992492492492493,1.3996496496496498
